Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Battery Life,Measurement Timestamp Label,Measurement ID
Calumet Beach,07/02/2014 05:00:00 AM,18.5,2.35,1.415,0.063,2,10.4,07/02/2014 5:00 AM,CalumetBeach201407020500
Calumet Beach,06/30/2014 01:00:00 PM,19.9,0.89,1.396,0.077,4,10.5,06/30/2014 1:00 PM,CalumetBeach201406301300
63rd Street Beach,06/30/2014 01:00:00 PM,16.6,0.85,1.642,0.101,4,11,06/30/2014 1:00 PM,63rdStreetBeach201406301300
Montrose Beach,06/30/2014 01:00:00 PM,17.6,0.42,1.599,0.12,4,10.6,06/30/2014 1:00 PM,MontroseBeach201406301300
Osterman Beach,06/30/2014 01:00:00 PM,16.9,0.54,1.314,0.127,3,11.2,06/30/2014 1:00 PM,OstermanBeach201406301300
Ohio Street Beach,06/30/2014 01:00:00 PM,20.6,1.35,1.633,0.138,2,10.7,06/30/2014 1:00 PM,OhioStreetBeach201406301300
Rainbow Beach,06/30/2014 01:00:00 PM,15.3,1.16,1.486,0.103,4,10.8,06/30/2014 1:00 PM,RainbowBeach201406301300
Calumet Beach,06/30/2014 05:00:00 PM,20.1,1.82,1.267,0.093,2,10.5,06/30/2014 5:00 PM,CalumetBeach201406301700
63rd Street Beach,06/30/2014 05:00:00 PM,16.6,0.96,1.599,0.106,4,11,06/30/2014 5:00 PM,63rdStreetBeach201406301700
Montrose Beach,06/30/2014 05:00:00 PM,17,0.59,1.462,0.136,4,10.6,06/30/2014 5:00 PM,MontroseBeach201406301700
Osterman Beach,06/30/2014 05:00:00 PM,17.6,0.55,1.161,0.108,8,11.2,06/30/2014 5:00 PM,OstermanBeach201406301700
Ohio Street Beach,06/30/2014 05:00:00 PM,19.6,1.79,1.576,0.142,3,10.7,06/30/2014 5:00 PM,OhioStreetBeach201406301700
Rainbow Beach,06/30/2014 05:00:00 PM,15.1,1.15,1.332,0.104,4,9.5,06/30/2014 5:00 PM,RainbowBeach201406301700
Montrose Beach,07/01/2014 04:00:00 PM,17.7,0.7,1.622,0.092,9,10.6,07/01/2014 4:00 PM,MontroseBeach201407011600
Ohio Street Beach,07/01/2014 04:00:00 PM,19.5,0.78,1.474,0.108,2,10.7,07/01/2014 4:00 PM,OhioStreetBeach201407011600
Calumet Beach,07/01/2014 04:00:00 PM,19,4.65,1.107,0.081,2,10.4,07/01/2014 4:00 PM,CalumetBeach201407011600
Rainbow Beach,06/30/2014 03:00:00 PM,15.3,1.04,1.401,0.095,4,9.2,06/30/2014 3:00 PM,RainbowBeach201406301500
Calumet Beach,06/30/2014 04:00:00 PM,20,1.31,1.305,0.098,2,10.5,06/30/2014 4:00 PM,CalumetBeach201406301600
63rd Street Beach,06/30/2014 04:00:00 PM,16.2,0.84,1.755,0.136,4,11,06/30/2014 4:00 PM,63rdStreetBeach201406301600
Montrose Beach,06/30/2014 04:00:00 PM,17.7,0.63,1.511,0.12,4,10.6,06/30/2014 4:00 PM,MontroseBeach201406301600
Osterman Beach,06/30/2014 04:00:00 PM,17.8,0.56,1.201,0.116,10,11.2,06/30/2014 4:00 PM,OstermanBeach201406301600
Ohio Street Beach,06/30/2014 04:00:00 PM,19.9,1.71,1.636,0.126,2,10.7,06/30/2014 4:00 PM,OhioStreetBeach201406301600
Rainbow Beach,06/30/2014 04:00:00 PM,15.1,0.89,1.575,0.104,4,10.8,06/30/2014 4:00 PM,RainbowBeach201406301600
Calumet Beach,07/01/2014 08:00:00 AM,19.1,2.01,1.367,0.083,3,10.4,07/01/2014 8:00 AM,CalumetBeach201407010800
63rd Street Beach,07/01/2014 08:00:00 AM,15.2,1.7,1.634,0.103,4,10.9,07/01/2014 8:00 AM,63rdStreetBeach201407010800
Montrose Beach,07/01/2014 08:00:00 AM,16.1,10.2,1.619,0.133,4,10.6,07/01/2014 8:00 AM,MontroseBeach201407010800
Osterman Beach,07/01/2014 08:00:00 AM,16.3,1.92,1.332,0.155,4,11.1,07/01/2014 8:00 AM,OstermanBeach201407010800
Ohio Street Beach,07/01/2014 08:00:00 AM,16.7,1.15,1.7,0.121,3,10.7,07/01/2014 8:00 AM,OhioStreetBeach201407010800
Rainbow Beach,07/01/2014 08:00:00 AM,15.3,1.6,1.481,0.108,4,10.7,07/01/2014 8:00 AM,RainbowBeach201407010800
Calumet Beach,06/30/2014 07:00:00 PM,20.2,2.33,1.33,0.073,3,10.5,06/30/2014 7:00 PM,CalumetBeach201406301900
63rd Street Beach,06/30/2014 07:00:00 PM,16,0.92,1.606,0.097,7,11,06/30/2014 7:00 PM,63rdStreetBeach201406301900
Montrose Beach,06/30/2014 07:00:00 PM,17,0.42,1.636,0.105,6,10.6,06/30/2014 7:00 PM,MontroseBeach201406301900
Osterman Beach,06/30/2014 07:00:00 PM,17.7,2.13,1.302,0.109,9,11.2,06/30/2014 7:00 PM,OstermanBeach201406301900
Ohio Street Beach,06/30/2014 07:00:00 PM,19.4,1.71,1.647,0.121,3,10.7,06/30/2014 7:00 PM,OhioStreetBeach201406301900
Rainbow Beach,06/30/2014 07:00:00 PM,14.7,0.81,1.382,0.101,7,10.8,06/30/2014 7:00 PM,RainbowBeach201406301900
Calumet Beach,06/30/2014 08:00:00 PM,19.6,1.4,1.332,0.112,3,10.5,06/30/2014 8:00 PM,CalumetBeach201406302000
63rd Street Beach,06/30/2014 08:00:00 PM,14.5,0.83,1.599,0.135,3,11,06/30/2014 8:00 PM,63rdStreetBeach201406302000
Montrose Beach,06/30/2014 08:00:00 PM,15.9,0.39,1.439,0.139,2,10.6,06/30/2014 8:00 PM,MontroseBeach201406302000
Osterman Beach,06/30/2014 08:00:00 PM,17,0.95,1.172,0.123,3,11.2,06/30/2014 8:00 PM,OstermanBeach201406302000
Ohio Street Beach,06/30/2014 08:00:00 PM,18.9,2.4,1.451,0.082,3,10.7,06/30/2014 8:00 PM,OhioStreetBeach201406302000
Rainbow Beach,06/30/2014 08:00:00 PM,14.4,0.88,1.406,0.163,2,10.8,06/30/2014 8:00 PM,RainbowBeach201406302000
Calumet Beach,06/30/2014 09:00:00 PM,19.4,1.28,1.433,0.222,2,10.5,06/30/2014 9:00 PM,CalumetBeach201406302100
63rd Street Beach,06/30/2014 09:00:00 PM,14.5,0.59,1.686,0.18,2,11,06/30/2014 9:00 PM,63rdStreetBeach201406302100
Montrose Beach,06/30/2014 09:00:00 PM,15.9,0.36,1.587,0.169,3,10.6,06/30/2014 9:00 PM,MontroseBeach201406302100
Osterman Beach,06/30/2014 09:00:00 PM,16.7,0.56,1.206,0.166,2,11.2,06/30/2014 9:00 PM,OstermanBeach201406302100
Ohio Street Beach,06/30/2014 09:00:00 PM,19.1,1.64,1.712,0.104,3,10.7,06/30/2014 9:00 PM,OhioStreetBeach201406302100
Rainbow Beach,06/30/2014 09:00:00 PM,14.4,0.8,1.487,0.168,2,10.6,06/30/2014 9:00 PM,RainbowBeach201406302100
Calumet Beach,06/30/2014 10:00:00 PM,19.4,1.99,1.312,0.192,3,10.5,06/30/2014 10:00 PM,CalumetBeach201406302200
63rd Street Beach,06/30/2014 10:00:00 PM,14.6,0.63,1.586,0.199,3,11,06/30/2014 10:00 PM,63rdStreetBeach201406302200
Montrose Beach,06/30/2014 10:00:00 PM,16,0.4,1.284,0.225,3,10.6,06/30/2014 10:00 PM,MontroseBeach201406302200
Osterman Beach,06/30/2014 10:00:00 PM,16.8,0.74,0.96,0.216,3,11.2,06/30/2014 10:00 PM,OstermanBeach201406302200
Ohio Street Beach,06/30/2014 10:00:00 PM,18.9,2.4,1.294,0.127,3,10.7,06/30/2014 10:00 PM,OhioStreetBeach201406302200
Rainbow Beach,06/30/2014 10:00:00 PM,14.5,0.82,1.297,0.174,3,10.8,06/30/2014 10:00 PM,RainbowBeach201406302200
Calumet Beach,06/30/2014 11:00:00 PM,19.2,2.13,1.477,0.168,3,10.5,06/30/2014 11:00 PM,CalumetBeach201406302300
63rd Street Beach,06/30/2014 11:00:00 PM,14.8,1.03,1.789,0.306,3,11,06/30/2014 11:00 PM,63rdStreetBeach201406302300
Montrose Beach,06/30/2014 11:00:00 PM,15.8,0.66,1.363,0.257,3,10.6,06/30/2014 11:00 PM,MontroseBeach201406302300
Osterman Beach,06/30/2014 11:00:00 PM,16.6,1.59,1.11,0.236,3,11.1,06/30/2014 11:00 PM,OstermanBeach201406302300
Ohio Street Beach,06/30/2014 11:00:00 PM,18.5,2.05,1.642,0.221,3,10.7,06/30/2014 11:00 PM,OhioStreetBeach201406302300
Rainbow Beach,06/30/2014 11:00:00 PM,14.6,1.4,1.641,0.352,3,10.7,06/30/2014 11:00 PM,RainbowBeach201406302300
Calumet Beach,07/01/2014 12:00:00 AM,19.2,2.56,1.115,0.174,4,10.5,07/01/2014 12:00 AM,CalumetBeach201407012400
63rd Street Beach,07/01/2014 12:00:00 AM,14.6,1.05,1.773,0.268,3,11,07/01/2014 12:00 AM,63rdStreetBeach201407012400
Montrose Beach,07/01/2014 12:00:00 AM,15.9,0.74,1.532,0.245,3,10.6,07/01/2014 12:00 AM,MontroseBeach201407012400
Osterman Beach,07/01/2014 12:00:00 AM,16.7,1.21,1.185,0.199,3,11.2,07/01/2014 12:00 AM,OstermanBeach201407012400
Ohio Street Beach,07/01/2014 12:00:00 AM,18.8,2.05,1.634,0.183,3,10.7,07/01/2014 12:00 AM,OhioStreetBeach201407012400
Rainbow Beach,07/01/2014 12:00:00 AM,14.7,2.01,1.556,0.306,4,10,07/01/2014 12:00 AM,RainbowBeach201407012400
Calumet Beach,07/01/2014 01:00:00 AM,19.2,3.54,1.111,0.184,4,10.5,07/01/2014 1:00 AM,CalumetBeach201407010100
63rd Street Beach,07/01/2014 01:00:00 AM,14.9,3.4,1.376,0.221,3,11,07/01/2014 1:00 AM,63rdStreetBeach201407010100
Montrose Beach,07/01/2014 01:00:00 AM,16,2.23,1.207,0.216,3,10.6,07/01/2014 1:00 AM,MontroseBeach201407010100
Osterman Beach,07/01/2014 01:00:00 AM,16.5,0.86,0.885,0.229,3,11.1,07/01/2014 1:00 AM,OstermanBeach201407010100
Ohio Street Beach,07/01/2014 01:00:00 AM,18.5,2.72,1.247,0.125,3,10.7,07/01/2014 1:00 AM,OhioStreetBeach201407010100
Rainbow Beach,07/01/2014 01:00:00 AM,14.7,2.13,1.132,0.222,3,10.7,07/01/2014 1:00 AM,RainbowBeach201407010100
Calumet Beach,07/01/2014 02:00:00 AM,19.1,2.55,1.213,0.205,3,10.5,07/01/2014 2:00 AM,CalumetBeach201407010200
63rd Street Beach,07/01/2014 02:00:00 AM,14.7,0.93,1.826,0.212,3,11,07/01/2014 2:00 AM,63rdStreetBeach201407010200
Montrose Beach,07/01/2014 02:00:00 AM,16.1,2.85,1.502,0.219,3,10.6,07/01/2014 2:00 AM,MontroseBeach201407010200
Osterman Beach,07/01/2014 02:00:00 AM,16.3,1.45,1.199,0.245,3,11.1,07/01/2014 2:00 AM,OstermanBeach201407010200
Ohio Street Beach,07/01/2014 02:00:00 AM,17.9,2.24,1.764,0.154,3,10.7,07/01/2014 2:00 AM,OhioStreetBeach201407010200
Rainbow Beach,07/01/2014 02:00:00 AM,14.8,2.35,1.561,0.17,3,10.7,07/01/2014 2:00 AM,RainbowBeach201407010200
Calumet Beach,07/01/2014 03:00:00 AM,19.2,2.76,1.399,0.162,3,10.4,07/01/2014 3:00 AM,CalumetBeach201407010300
63rd Street Beach,07/01/2014 03:00:00 AM,15,1.88,1.846,0.205,4,11,07/01/2014 3:00 AM,63rdStreetBeach201407010300
Montrose Beach,07/01/2014 03:00:00 AM,16.2,5.79,1.674,0.219,3,10.6,07/01/2014 3:00 AM,MontroseBeach201407010300
Osterman Beach,07/01/2014 03:00:00 AM,16.2,2.98,1.332,0.267,3,11.1,07/01/2014 3:00 AM,OstermanBeach201407010300
Ohio Street Beach,07/01/2014 03:00:00 AM,16.4,1.45,1.806,0.148,3,10.7,07/01/2014 3:00 AM,OhioStreetBeach201407010300
Rainbow Beach,07/01/2014 03:00:00 AM,14.9,1.85,1.694,0.183,3,10.8,07/01/2014 3:00 AM,RainbowBeach201407010300
Calumet Beach,07/01/2014 04:00:00 AM,19.1,2.39,1.638,0.174,3,10.5,07/01/2014 4:00 AM,CalumetBeach201407010400
63rd Street Beach,07/01/2014 04:00:00 AM,15.1,3.31,1.703,0.179,3,10.9,07/01/2014 4:00 AM,63rdStreetBeach201407010400
Montrose Beach,07/01/2014 04:00:00 AM,16,3.95,1.5,0.214,4,10.6,07/01/2014 4:00 AM,MontroseBeach201407010400
Osterman Beach,07/01/2014 04:00:00 AM,16.3,2.87,1.086,0.227,4,11.1,07/01/2014 4:00 AM,OstermanBeach201407010400
Ohio Street Beach,07/01/2014 04:00:00 AM,17.1,1.8,1.677,0.139,3,10.7,07/01/2014 4:00 AM,OhioStreetBeach201407010400
Calumet Beach,07/01/2014 05:00:00 AM,19.1,2.61,1.01,0.135,3,10.4,07/01/2014 5:00 AM,CalumetBeach201407010500
63rd Street Beach,07/01/2014 05:00:00 AM,15.1,2.94,1.463,0.167,3,10.9,07/01/2014 5:00 AM,63rdStreetBeach201407010500
Montrose Beach,07/01/2014 05:00:00 AM,15.8,1.59,1.796,0.198,4,10.6,07/01/2014 5:00 AM,MontroseBeach201407010500
Osterman Beach,07/01/2014 05:00:00 AM,16.2,2.44,1.45,0.229,4,11.1,07/01/2014 5:00 AM,OstermanBeach201407010500
Ohio Street Beach,07/01/2014 05:00:00 AM,16.4,1.61,1.662,0.135,4,10.7,07/01/2014 5:00 AM,OhioStreetBeach201407010500
Rainbow Beach,07/01/2014 04:00:00 AM,15,1.82,1.597,0.176,4,10.8,07/01/2014 4:00 AM,RainbowBeach201407010400
Calumet Beach,07/01/2014 01:00:00 PM,19.1,2.43,1.406,0.091,2,10.4,07/01/2014 1:00 PM,CalumetBeach201407011300
Calumet Beach,07/02/2014 04:00:00 PM,18,3.11,1.533,0.114,3,10.4,07/02/2014 4:00 PM,CalumetBeach201407021600
Calumet Beach,07/01/2014 06:00:00 AM,19.1,3.05,1.106,0.107,4,10.4,07/01/2014 6:00 AM,CalumetBeach201407010600
63rd Street Beach,07/01/2014 06:00:00 AM,15,2.19,1.419,0.135,4,10.9,07/01/2014 6:00 AM,63rdStreetBeach201407010600
Montrose Beach,07/01/2014 06:00:00 AM,15.5,1.64,1.497,0.161,4,10.6,07/01/2014 6:00 AM,MontroseBeach201407010600
Osterman Beach,07/01/2014 06:00:00 AM,16.2,2.76,1.305,0.205,3,11.1,07/01/2014 6:00 AM,OstermanBeach201407010600
Ohio Street Beach,07/01/2014 06:00:00 AM,16.1,1.37,1.578,0.105,4,10.7,07/01/2014 6:00 AM,OhioStreetBeach201407010600
Rainbow Beach,07/01/2014 06:00:00 AM,15,1.87,1.227,0.129,3,10.7,07/01/2014 6:00 AM,RainbowBeach201407010600
Calumet Beach,07/01/2014 07:00:00 AM,19,2.12,1.275,0.102,4,10.4,07/01/2014 7:00 AM,CalumetBeach201407010700
63rd Street Beach,07/01/2014 07:00:00 AM,15.1,2.08,1.492,0.123,4,10.9,07/01/2014 7:00 AM,63rdStreetBeach201407010700
Montrose Beach,07/01/2014 07:00:00 AM,15.8,4.27,1.621,0.128,4,10.6,07/01/2014 7:00 AM,MontroseBeach201407010700
Osterman Beach,07/01/2014 07:00:00 AM,16.2,2.06,1.27,0.183,3,11.1,07/01/2014 7:00 AM,OstermanBeach201407010700
Ohio Street Beach,07/01/2014 07:00:00 AM,16.5,1.22,1.723,0.126,3,10.7,07/01/2014 7:00 AM,OhioStreetBeach201407010700
Rainbow Beach,07/01/2014 07:00:00 AM,15.1,1.5,1.46,0.111,4,10.7,07/01/2014 7:00 AM,RainbowBeach201407010700
Calumet Beach,07/01/2014 09:00:00 AM,19.3,2.16,1.43,0.089,3,10.4,07/01/2014 9:00 AM,CalumetBeach201407010900
63rd Street Beach,07/01/2014 09:00:00 AM,15.5,1.79,1.568,0.112,3,10.9,07/01/2014 9:00 AM,63rdStreetBeach201407010900
Montrose Beach,07/01/2014 09:00:00 AM,16.7,10.25,1.676,0.108,4,10.6,07/01/2014 9:00 AM,MontroseBeach201407010900
Osterman Beach,07/01/2014 09:00:00 AM,16.9,2.35,1.303,0.131,3,11.1,07/01/2014 9:00 AM,OstermanBeach201407010900
Ohio Street Beach,07/01/2014 09:00:00 AM,17.1,1.12,1.631,0.096,3,10.7,07/01/2014 9:00 AM,OhioStreetBeach201407010900
Rainbow Beach,07/01/2014 09:00:00 AM,15.6,1.78,1.349,0.115,4,10.7,07/01/2014 9:00 AM,RainbowBeach201407010900
Calumet Beach,07/01/2014 10:00:00 AM,19.4,1.93,1.27,0.087,3,10.4,07/01/2014 10:00 AM,CalumetBeach201407011000
63rd Street Beach,07/01/2014 10:00:00 AM,15.8,1.57,1.461,0.105,4,10.9,07/01/2014 10:00 AM,63rdStreetBeach201407011000
Montrose Beach,07/01/2014 10:00:00 AM,16.8,5.17,1.663,0.115,4,10.6,07/01/2014 10:00 AM,MontroseBeach201407011000
Osterman Beach,07/01/2014 10:00:00 AM,16.9,1.54,1.241,0.105,3,11.1,07/01/2014 10:00 AM,OstermanBeach201407011000
Ohio Street Beach,07/01/2014 10:00:00 AM,17.9,1.05,1.574,0.083,3,10.7,07/01/2014 10:00 AM,OhioStreetBeach201407011000
Rainbow Beach,07/01/2014 10:00:00 AM,15.9,1.44,1.357,0.12,4,10.7,07/01/2014 10:00 AM,RainbowBeach201407011000
Calumet Beach,07/01/2014 02:00:00 PM,19,3.71,1.331,0.135,3,10.4,07/01/2014 2:00 PM,CalumetBeach201407011400
Montrose Beach,07/01/2014 02:00:00 PM,17.5,0.76,1.45,0.101,3,10.6,07/01/2014 2:00 PM,MontroseBeach201407011400
Ohio Street Beach,07/01/2014 02:00:00 PM,19.4,0.86,1.71,0.139,3,10.7,07/01/2014 2:00 PM,OhioStreetBeach201407011400
Osterman Beach,07/01/2014 02:00:00 PM,17.9,1.25,1.101,0.104,3,11.1,07/01/2014 2:00 PM,OstermanBeach201407011400
63rd Street Beach,07/01/2014 11:00:00 AM,16.2,1.31,1.378,0.09,4,10.9,07/01/2014 11:00 AM,63rdStreetBeach201407011100
Montrose Beach,07/01/2014 11:00:00 AM,17.2,2.07,1.25,0.099,4,10.6,07/01/2014 11:00 AM,MontroseBeach201407011100
Osterman Beach,07/01/2014 11:00:00 AM,17.2,1.24,0.943,0.099,4,11.1,07/01/2014 11:00 AM,OstermanBeach201407011100
Ohio Street Beach,07/01/2014 11:00:00 AM,18.2,1.04,1.24,0.108,3,10.7,07/01/2014 11:00 AM,OhioStreetBeach201407011100
Rainbow Beach,07/01/2014 11:00:00 AM,16.4,1.59,1.231,0.107,3,10.5,07/01/2014 11:00 AM,RainbowBeach201407011100
Calumet Beach,07/01/2014 12:00:00 PM,18.9,2.66,1.317,0.083,3,10.4,07/01/2014 12:00 PM,CalumetBeach201407011200
63rd Street Beach,07/01/2014 12:00:00 PM,16.3,1,1.626,0.087,4,10.9,07/01/2014 12:00 PM,63rdStreetBeach201407011200
Montrose Beach,07/01/2014 12:00:00 PM,17,1.04,1.348,0.093,4,10.6,07/01/2014 12:00 PM,MontroseBeach201407011200
Osterman Beach,07/01/2014 12:00:00 PM,17.5,1.51,1.086,0.092,4,11.1,07/01/2014 12:00 PM,OstermanBeach201407011200
Ohio Street Beach,07/01/2014 12:00:00 PM,18.3,0.95,1.465,0.099,3,10.7,07/01/2014 12:00 PM,OhioStreetBeach201407011200
Montrose Beach,07/01/2014 01:00:00 PM,17.1,0.86,1.344,0.136,3,10.6,07/01/2014 1:00 PM,MontroseBeach201407011300
Osterman Beach,07/01/2014 01:00:00 PM,17.6,1.55,1.011,0.107,4,11.1,07/01/2014 1:00 PM,OstermanBeach201407011300
Ohio Street Beach,07/01/2014 01:00:00 PM,18.7,0.93,1.636,0.118,3,10.7,07/01/2014 1:00 PM,OhioStreetBeach201407011300
Calumet Beach,07/01/2014 03:00:00 PM,18.9,4.41,1.342,0.085,2,10.4,07/01/2014 3:00 PM,CalumetBeach201407011500
Montrose Beach,07/01/2014 03:00:00 PM,17.6,0.74,1.491,0.091,3,10.6,07/01/2014 3:00 PM,MontroseBeach201407011500
Calumet Beach,07/01/2014 06:00:00 PM,18.8,3.23,1.465,0.091,3,10.4,07/01/2014 6:00 PM,CalumetBeach201407011800
Ohio Street Beach,07/01/2014 05:00:00 PM,18.9,1.08,1.407,0.126,3,10.7,07/01/2014 5:00 PM,OhioStreetBeach201407011700
Calumet Beach,07/01/2014 08:00:00 PM,18.8,3.4,1.46,0.082,3,10.4,07/01/2014 8:00 PM,CalumetBeach201407012000
Ohio Street Beach,07/01/2014 08:00:00 PM,17.5,0.72,1.514,0.103,2,10.7,07/01/2014 8:00 PM,OhioStreetBeach201407012000
63rd Street Beach,07/01/2014 01:00:00 PM,16.2,1.1,1.851,0.124,4,10.9,07/01/2014 1:00 PM,63rdStreetBeach201407011300
Montrose Beach,07/01/2014 05:00:00 PM,17.8,0.71,1.625,0.085,8,10.6,07/01/2014 5:00 PM,MontroseBeach201407011700
Osterman Beach,07/01/2014 07:00:00 PM,16.6,0.92,1.312,0.084,6,11.1,07/01/2014 7:00 PM,OstermanBeach201407011900
Calumet Beach,07/01/2014 09:00:00 PM,18.7,3.37,1.228,0.085,4,10.4,07/01/2014 9:00 PM,CalumetBeach201407012100
63rd Street Beach,07/01/2014 09:00:00 PM,16.4,1.04,1.572,0.088,4,10.9,07/01/2014 9:00 PM,63rdStreetBeach201407012100
Calumet Beach,07/01/2014 10:00:00 PM,18.7,3.64,1.271,0.079,2,10.4,07/01/2014 10:00 PM,CalumetBeach201407012200
63rd Street Beach,07/01/2014 10:00:00 PM,16.3,0.9,1.59,0.106,5,10.9,07/01/2014 10:00 PM,63rdStreetBeach201407012200
Montrose Beach,07/01/2014 09:00:00 PM,16.8,0.57,1.408,0.079,5,10.6,07/01/2014 9:00 PM,MontroseBeach201407012100
Osterman Beach,07/01/2014 09:00:00 PM,16.4,0.74,1.083,0.08,3,11.1,07/01/2014 9:00 PM,OstermanBeach201407012100
Ohio Street Beach,07/01/2014 09:00:00 PM,16.7,0.93,1.391,0.103,2,10.7,07/01/2014 9:00 PM,OhioStreetBeach201407012100
Rainbow Beach,07/01/2014 09:00:00 PM,16.9,1.63,1.403,0.107,3,10.7,07/01/2014 9:00 PM,RainbowBeach201407012100
Calumet Beach,07/02/2014 05:00:00 PM,18,3.62,1.397,0.164,4,10.4,07/02/2014 5:00 PM,CalumetBeach201407021700
63rd Street Beach,07/02/2014 05:00:00 PM,16.4,1.31,1.708,0.313,3,10.9,07/02/2014 5:00 PM,63rdStreetBeach201407021700
Montrose Beach,07/02/2014 05:00:00 PM,16.6,1.34,1.631,0.324,4,10.5,07/02/2014 5:00 PM,MontroseBeach201407021700
Osterman Beach,07/02/2014 05:00:00 PM,16.8,1.63,1.305,0.282,4,11.1,07/02/2014 5:00 PM,OstermanBeach201407021700
Ohio Street Beach,07/02/2014 05:00:00 PM,17.8,2.83,1.672,0.214,3,10.6,07/02/2014 5:00 PM,OhioStreetBeach201407021700
Rainbow Beach,07/02/2014 05:00:00 PM,16.6,1.79,1.504,0.33,3,10.6,07/02/2014 5:00 PM,RainbowBeach201407021700
Calumet Beach,07/03/2014 08:00:00 AM,17.6,1.07,1.42,0.161,4,10.3,07/03/2014 8:00 AM,CalumetBeach201407030800
63rd Street Beach,07/03/2014 08:00:00 AM,16.2,0.79,1.74,0.278,5,10.8,07/03/2014 8:00 AM,63rdStreetBeach201407030800
Montrose Beach,07/03/2014 08:00:00 AM,16.7,1.24,1.669,0.211,5,10.5,07/03/2014 8:00 AM,MontroseBeach201407030800
Osterman Beach,07/03/2014 08:00:00 AM,17.3,1.41,1.356,0.184,4,11,07/03/2014 8:00 AM,OstermanBeach201407030800
Ohio Street Beach,07/03/2014 08:00:00 AM,15.5,1.44,1.755,0.164,4,10.6,07/03/2014 8:00 AM,OhioStreetBeach201407030800
Rainbow Beach,07/03/2014 08:00:00 AM,16.5,1.7,1.532,0.276,3,10.6,07/03/2014 8:00 AM,RainbowBeach201407030800
Montrose Beach,07/01/2014 10:00:00 PM,16.8,0.53,1.416,0.096,4,10.6,07/01/2014 10:00 PM,MontroseBeach201407012200
Osterman Beach,07/01/2014 10:00:00 PM,16.4,0.76,1.078,0.115,2,11.1,07/01/2014 10:00 PM,OstermanBeach201407012200
Ohio Street Beach,07/01/2014 10:00:00 PM,16.6,1.04,1.511,0.091,3,10.7,07/01/2014 10:00 PM,OhioStreetBeach201407012200
Calumet Beach,07/01/2014 11:00:00 PM,18.8,2.26,1.262,0.076,3,10.4,07/01/2014 11:00 PM,CalumetBeach201407012300
63rd Street Beach,07/01/2014 11:00:00 PM,16.4,0.83,1.646,0.095,4,10.9,07/01/2014 11:00 PM,63rdStreetBeach201407012300
Montrose Beach,07/01/2014 11:00:00 PM,16.9,0.67,1.444,0.085,9,10.6,07/01/2014 11:00 PM,MontroseBeach201407012300
Osterman Beach,07/01/2014 11:00:00 PM,16.4,0.68,1.155,0.088,4,11.1,07/01/2014 11:00 PM,OstermanBeach201407012300
Ohio Street Beach,07/01/2014 11:00:00 PM,16.3,1.25,1.469,0.084,2,10.7,07/01/2014 11:00 PM,OhioStreetBeach201407012300
Rainbow Beach,07/01/2014 11:00:00 PM,16.7,0.89,1.463,0.092,3,10.7,07/01/2014 11:00 PM,RainbowBeach201407012300
Calumet Beach,07/02/2014 12:00:00 AM,18.8,2.25,1.457,0.073,4,10.4,07/02/2014 12:00 AM,CalumetBeach201407022400
63rd Street Beach,07/02/2014 12:00:00 AM,16.4,0.72,1.674,0.109,4,10.9,07/02/2014 12:00 AM,63rdStreetBeach201407022400
Montrose Beach,07/02/2014 12:00:00 AM,16.6,0.53,1.544,0.092,8,10.6,07/02/2014 12:00 AM,MontroseBeach201407022400
Osterman Beach,07/02/2014 12:00:00 AM,16,0.56,1.198,0.086,8,11.1,07/02/2014 12:00 AM,OstermanBeach201407022400
Ohio Street Beach,07/02/2014 12:00:00 AM,16,1.18,1.635,0.088,2,10.7,07/02/2014 12:00 AM,OhioStreetBeach201407022400
Rainbow Beach,07/02/2014 12:00:00 AM,16.5,1.08,1.493,0.116,4,10.7,07/02/2014 12:00 AM,RainbowBeach201407022400
Calumet Beach,07/02/2014 11:00:00 AM,18.6,3.08,1.443,0.081,3,10.4,07/02/2014 11:00 AM,CalumetBeach201407021100
63rd Street Beach,07/02/2014 11:00:00 AM,16.4,0.78,1.774,0.118,2,10.9,07/02/2014 11:00 AM,63rdStreetBeach201407021100
Montrose Beach,07/02/2014 11:00:00 AM,16.6,0.41,1.611,0.147,2,10.5,07/02/2014 11:00 AM,MontroseBeach201407021100
Osterman Beach,07/02/2014 11:00:00 AM,16.6,0.39,1.311,0.124,5,11.1,07/02/2014 11:00 AM,OstermanBeach201407021100
Ohio Street Beach,07/02/2014 11:00:00 AM,17.1,0.89,1.723,0.107,2,10.6,07/02/2014 11:00 AM,OhioStreetBeach201407021100
Rainbow Beach,07/02/2014 11:00:00 AM,16.4,0.71,1.545,0.133,2,9.8,07/02/2014 11:00 AM,RainbowBeach201407021100
Calumet Beach,07/02/2014 08:00:00 PM,18,3.31,1.505,0.178,4,10.3,07/02/2014 8:00 PM,CalumetBeach201407022000
63rd Street Beach,07/02/2014 08:00:00 PM,15.8,2.09,1.851,0.32,4,10.9,07/02/2014 8:00 PM,63rdStreetBeach201407022000
Calumet Beach,07/02/2014 01:00:00 AM,18.7,2.5,1.361,0.069,3,10.4,07/02/2014 1:00 AM,CalumetBeach201407020100
